escenario model periodo precip pcp_anom et et_anom pet pet_anom perc perc_anom rchrg rchrg_anom total_flow total_flow_anom surq surq_anom latq latq_anom gwflo_cha gwflocha_anom gwflo_res gwflores_anom total_gwflo totalgwflo_anom reser_floin_mm res_floin_anom
RCP 8.5 7 baseline 420.874 0 400.505 0 1651.048 0 2.834 0 4.461 0 14.609 0 4.952 0 6.839 0 2.79 0 0.028 0 2.818 0 14.809 0
RCP 8.5 7 midterm 422.451 0.004 396.353 -0.01 1734.937 0.051 3.997 0.41 6.714 0.505 17.162 0.175 6.563 0.325 6.616 -0.033 3.813 0.366 0.17 5.176 3.983 0.413 17.127 0.157
RCP 8.5 7 longterm 382.92 -0.09 369.138 -0.078 1846.46 0.118 3.682 0.299 6.18 0.385 15.873 0.086 5.945 0.2 6.227 -0.09 3.601 0.29 0.101 2.664 3.701 0.314 16.216 0.095
RCP 8.5 7 other 383.308 -0.089 367.796 -0.082 1733.569 0.05 2.57 -0.093 4.07 -0.088 11.733 -0.197 4.105 -0.171 5.145 -0.248 2.472 -0.114 0.012 -0.557 2.484 -0.118 11.87 -0.198
RCP 8.5 9 baseline 410.127 0 391.91 0 1645.807 0 3.114 0 5.012 0 14.061 0 4.1 0 6.921 0 3.027 0 0.013 0 3.04 0 14.542 0
RCP 8.5 9 midterm 353.249 -0.139 339.207 -0.134 1753.912 0.066 3.299 0.059 5.503 0.098 13.443 -0.044 4.425 0.079 5.704 -0.176 3.242 0.071 0.072 4.619 3.314 0.09 13.834 -0.049
RCP 8.5 9 longterm 338.698 -0.174 325.826 -0.169 1844.864 0.121 2.224 -0.286 3.535 -0.295 10.204 -0.274 3.445 -0.16 4.588 -0.337 2.127 -0.297 0.044 2.391 2.17 -0.286 10.095 -0.306
RCP 8.5 9 other 339.404 -0.172 324.492 -0.172 1736.553 0.055 1.786 -0.426 2.822 -0.437 8.385 -0.404 2.655 -0.352 3.969 -0.427 1.752 -0.421 0.008 -0.37 1.761 -0.421 8.379 -0.424
RCP 8.5 14 baseline 395.486 0 374.449 0 1652.806 0 1.911 0 2.807 0 10.559 0 3.424 0 5.391 0 1.744 0 0 NA 1.744 0 10.68 0
RCP 8.5 14 midterm 289.98 -0.267 286.963 -0.234 1812.461 0.097 0.675 -0.647 0.952 -0.661 3.983 -0.623 1.375 -0.598 1.938 -0.641 0.653 -0.625 0.017 Inf 0.67 -0.616 3.547 -0.668
RCP 8.5 14 longterm 273.254 -0.309 266.221 -0.289 1930.709 0.168 0.711 -0.628 0.977 -0.652 5.189 -0.509 2.428 -0.291 2.111 -0.608 0.637 -0.635 0.012 Inf 0.65 -0.627 4.708 -0.559
RCP 8.5 14 other 337.156 -0.147 321.639 -0.141 1776.192 0.075 2.891 0.513 4.863 0.733 12.854 0.217 4.91 0.434 5.03 -0.067 2.789 0.599 0.125 Inf 2.914 0.671 12.923 0.21
